id,id_str,tab,Japanese,English
84,aetheryte-tamamizu/aetheryte-onokoro,othard,紅玉海,The Ruby Sea
85,aetheryte-tamamizu/aetheryte-onokoro,othard,オサード,Othard
86,aetheryte-tamamizu,othard,碧のタマミズ,Tamamizu
87,aetheryte-onokoro,othard,オノコロ島,Onokoro
88,aetheryte-namai/aetheryte-fierce,othard,ヤンサ,Yanxia
89,aetheryte-namai,othard,ナマイ村,Namai
90,aetheryte-fierce,othard,烈士庵,The House of the Fierce
91,aetheryte-reunion/aetheryte-dawnthrone/aetheryte-dhoroiloh,othard,アジムステップ,The Azim Steppe
92,aetheryte-reunion,othard,再会の市,Reunion
93,aetheryte-dawnthrone,othard,明けの玉座,The Dawn Throne
94,aetheryte-dhoroiloh,othard,ドーロ・イロー,Dhoro Iloh
95,aetheryte-domanenclave,othard,ドマ,Doma
96,aetheryte-domanenclave,othard,ドマ町人地,The Doman Enclave
97,aetheryte-crystarium/aetheryte-eulmore/aetheryte-jobb/aetheryte-ostall/aetheryte-stilltide/aetheryte-wright/aetheryte-tomra/aetheryte-mordsouq/aetheryte-journey/aetheryte-twine/aetheryte-lydhalran/aetheryte-plaenni/aetheryte-wolekdorf/aetheryte-slitherbough/aetheryte-fanow/aetheryte-ondo/aetheryte-macarenses,norvrandt,ノルヴラント,Norvrandt
98,aetheryte-crystarium,norvrandt,クリスタリウム,Crystarium
99,aetheryte-eulmore,norvrandt,ユールモア,Eulmore
100,aetheryte-jobb/aetheryte-ostall,norvrandt,レイクランド,Lakeland
101,aetheryte-jobb,norvrandt,ジョッブ砦,Fort Jobb
102,aetheryte-ostall,norvrandt,オスタル厳命城,The Ostall Imperative
103,aetheryte-stilltide/aetheryte-wright/aetheryte-tomra,norvrandt,コルシア島,Kholusia
104,aetheryte-stilltide,norvrandt,スティルタイド,Stilltide
105,aetheryte-wright,norvrandt,ライト村,Wright
106,aetheryte-tomra,norvrandt,トメラの村,Tomra
107,aetheryte-mordsouq/aetheryte-journey/aetheryte-twine,norvrandt,アム・アレーン,Amh Araeng
108,aetheryte-mordsouq,norvrandt,モルド・スーク,Mord Souq
109,aetheryte-journey,norvrandt,旅立ちの宿,The Inn at Journey's Head
110,aetheryte-twine,norvrandt,トゥワイン,Twine
111,aetheryte-lydhalran/aetheryte-plaenni/aetheryte-wolekdorf,norvrandt,イル・メグ,Il Mheg
112,aetheryte-lydhalran,norvrandt,リダ・ラーン,Lydha Lran
113,aetheryte-plaenni,norvrandt,プラ・エンニ茸窟,Pla Enni
114,aetheryte-wolekdorf,norvrandt,ヴォレクドルフ,Wolekdorf
115,aetheryte-slitherbough/aetheryte-fanow,norvrandt,ラケティカ大森林,The Rak'tika Greatwood
116,aetheryte-slitherbough,norvrandt,スリザーバウ,Slitherbough
117,aetheryte-fanow,norvrandt,ファノヴの里,Fanow
118,aetheryte-ondo/aetheryte-macarenses,norvrandt,テンペスト,The Tempest
119,aetheryte-ondo,norvrandt,オンドの潮溜まり,The Ondo Cups
120,aetheryte-macarenses,norvrandt,マカレンサス広場,The Macarenses Angle
121,aetheryte-revenant,mordhona,モードゥナ,Mor Dhona
122,aetheryte-revenant,mordhona,レヴナンツトール,Revenant's Toll
